project_id,milestone_name,planned_date,achieved_date,is_delayed
PRJ-00012,Statutory Approvals & Land Possession,2025-04-20,,True
PRJ-00012,Engineering Design & EPC Contract Award,2025-11-04,,True
PRJ-00012,Civil Works Foundation & Substructure,2026-05-22,,True
PRJ-00012,Main Equipment Supply & Installation,2026-12-06,,False
PRJ-00012,"Piping, Cabling & Auxiliary Works",2027-06-23,,False
PRJ-00012,"Pre-commissioning, Testing & Final Handover",2028-01-07,,False
PRJ-00013,Land & Depot Acquisition Approval,2021-09-28,2021-10-06,False
PRJ-00013,Utility Shifting & Tree Clearance,2022-10-21,2023-04-15,True
PRJ-00013,Viaduct Pier Construction & TBM Tunneling,2023-11-13,2024-05-08,True
PRJ-00013,Underground / Elevated Stations Civil Structure,2024-12-04,2025-05-04,True
PRJ-00013,Third Rail / OHE & CBTC Signalling,2025-12-27,,True
PRJ-00013,Rolling Stock Trials & CMRS Certification,2027-01-19,,False
PRJ-00014,Detailed Alignment Survey & RoW Acquisition,2026-04-20,,True
PRJ-00014,Forest & Railway Board Sanction,2026-11-04,,False
PRJ-00014,Tendering & Major Civil Contract Award,2027-05-22,,False
PRJ-00014,"Earthwork, Tunnels & Bridge Abutments",2027-12-06,,False
PRJ-00014,Track Laying & 25kV OHE Electrification,2028-06-22,,False
PRJ-00014,Signalling (Kavach) & CRS Safety Inspection,2029-01-06,,False
PRJ-00015,Detailed Alignment Survey & RoW Acquisition,2022-02-02,2022-01-20,False
PRJ-00015,Forest & Railway Board Sanction,2022-08-24,2023-01-14,True
PRJ-00015,Tendering & Major Civil Contract Award,2023-03-15,2023-11-06,True
PRJ-00015,"Earthwork, Tunnels & Bridge Abutments",2023-10-04,2024-03-22,True
PRJ-00015,Track Laying & 25kV OHE Electrification,2024-04-24,,True
PRJ-00015,Signalling (Kavach) & CRS Safety Inspection,2024-11-13,,True
PRJ-00016,Land & Depot Acquisition Approval,2022-04-03,2022-03-31,False
PRJ-00016,Utility Shifting & Tree Clearance,2022-09-21,2022-12-27,True
PRJ-00016,Viaduct Pier Construction & TBM Tunneling,2023-03-11,2023-10-27,True
PRJ-00016,Underground / Elevated Stations Civil Structure,2023-08-29,2024-04-15,True
PRJ-00016,Third Rail / OHE & CBTC Signalling,2024-02-15,2024-07-10,True
PRJ-00016,Rolling Stock Trials & CMRS Certification,2024-08-04,2024-11-15,True
PRJ-00017,Statutory Approvals & Land Possession,2021-11-07,2021-11-10,False
PRJ-00017,Engineering Design & EPC Contract Award,2022-04-04,2022-04-04,False
PRJ-00017,Civil Works Foundation & Substructure,2022-08-30,2022-08-31,False
PRJ-00017,Main Equipment Supply & Installation,2023-01-24,2023-01-25,False
PRJ-00017,"Piping, Cabling & Auxiliary Works",2023-06-21,2023-06-11,False
PRJ-00017,"Pre-commissioning, Testing & Final Handover",2023-11-16,2023-11-02,False
PRJ-00018,Land Acquisition & 3D Notification (90% RoW),2023-09-06,2023-09-09,False
PRJ-00018,Forest & Environmental Clearance,2024-01-22,2024-07-14,True
PRJ-00018,EPC / HAM Contract Award & Financial Close,2024-06-09,2024-11-19,True
PRJ-00018,"Earthwork, Embankment & Subgrade Completion",2024-10-25,2025-02-12,True
PRJ-00018,Major Bridges & Flyover Structures Erection,2025-03-13,,True
PRJ-00018,"Bituminous Pavement, Signage & Final COD",2025-07-29,,True
PRJ-00019,Solar Park / Land Lease Execution,2023-03-20,2023-03-05,False
PRJ-00019,Grid Connectivity & PPA Execution,2023-08-10,2023-08-09,False
PRJ-00019,Module Mounting Structures & Inverter Civil Work,2023-12-31,2024-01-04,False
PRJ-00019,Solar PV Module / WTG Erection,2024-05-22,2024-05-25,False
PRJ-00019,Transmission Line to Pooling Substation,2024-10-12,2024-09-30,False
PRJ-00019,RLDC Charging & Commercial Operation Declaration,2025-03-04,2025-02-19,False
PRJ-00020,Detailed Alignment Survey & RoW Acquisition,2022-12-30,2022-12-31,False
PRJ-00020,Forest & Railway Board Sanction,2023-05-31,2023-07-02,True
PRJ-00020,Tendering & Major Civil Contract Award,2023-10-30,2024-05-17,True
PRJ-00020,"Earthwork, Tunnels & Bridge Abutments",2024-03-31,2024-11-25,True
PRJ-00020,Track Laying & 25kV OHE Electrification,2024-08-30,2025-02-17,True
PRJ-00020,Signalling (Kavach) & CRS Safety Inspection,2025-01-29,2025-05-15,True
PRJ-00021,Statutory Approvals & Land Possession,2024-10-04,2024-09-27,False
PRJ-00021,Engineering Design & EPC Contract Award,2025-02-24,,True
PRJ-00021,Civil Works Foundation & Substructure,2025-07-17,,True
PRJ-00021,Main Equipment Supply & Installation,2025-12-07,,True
PRJ-00021,"Piping, Cabling & Auxiliary Works",2026-04-29,,True
PRJ-00021,"Pre-commissioning, Testing & Final Handover",2026-09-19,,False
PRJ-00022,Land Acquisition & 3D Notification (90% RoW),2023-11-28,2023-12-06,False
PRJ-00022,Forest & Environmental Clearance,2024-05-26,2024-10-16,True
PRJ-00022,EPC / HAM Contract Award & Financial Close,2024-11-22,,True
PRJ-00022,"Earthwork, Embankment & Subgrade Completion",2025-05-21,,True
PRJ-00022,Major Bridges & Flyover Structures Erection,2025-11-17,,True
PRJ-00022,"Bituminous Pavement, Signage & Final COD",2026-05-16,,True
PRJ-00023,Detailed Alignment Survey & RoW Acquisition,2025-02-02,,True
PRJ-00023,Forest & Railway Board Sanction,2025-11-24,,True
PRJ-00023,Tendering & Major Civil Contract Award,2026-09-16,,False
PRJ-00023,"Earthwork, Tunnels & Bridge Abutments",2027-07-08,,False
PRJ-00023,Track Laying & 25kV OHE Electrification,2028-04-28,,False
PRJ-00023,Signalling (Kavach) & CRS Safety Inspection,2029-02-18,,False
PRJ-00024,Statutory Approvals & Land Possession,2021-03-28,2021-03-20,False
PRJ-00024,Engineering Design & EPC Contract Award,2021-09-19,2021-09-09,False
PRJ-00024,Civil Works Foundation & Substructure,2022-03-14,2022-03-24,False
PRJ-00024,Main Equipment Supply & Installation,2022-09-05,2022-09-15,False
PRJ-00024,"Piping, Cabling & Auxiliary Works",2023-02-27,2023-02-17,False
PRJ-00024,"Pre-commissioning, Testing & Final Handover",2023-08-22,2023-08-20,False
PRJ-00025,Land Acquisition & 3D Notification (90% RoW),2025-10-19,2025-10-11,False
PRJ-00025,Forest & Environmental Clearance,2026-03-11,2026-03-02,False
PRJ-00025,EPC / HAM Contract Award & Financial Close,2026-08-01,2026-07-31,False
PRJ-00025,"Earthwork, Embankment & Subgrade Completion",2026-12-22,,False
PRJ-00025,Major Bridges & Flyover Structures Erection,2027-05-14,,False
PRJ-00025,"Bituminous Pavement, Signage & Final COD",2027-10-04,,False
PRJ-00026,Statutory Approvals & Land Possession,2021-05-17,2021-05-14,False
PRJ-00026,Engineering Design & EPC Contract Award,2021-09-05,2022-03-27,True
PRJ-00026,Civil Works Foundation & Substructure,2021-12-25,2022-06-10,True
PRJ-00026,Main Equipment Supply & Installation,2022-04-15,2022-08-07,True
PRJ-00026,"Piping, Cabling & Auxiliary Works",2022-08-03,2022-09-09,True
PRJ-00026,"Pre-commissioning, Testing & Final Handover",2022-11-22,2023-01-20,True
PRJ-00027,Detailed Alignment Survey & RoW Acquisition,2024-06-18,2024-06-21,False
PRJ-00027,Forest & Railway Board Sanction,2025-02-04,2025-04-23,True
PRJ-00027,Tendering & Major Civil Contract Award,2025-09-23,,True
PRJ-00027,"Earthwork, Tunnels & Bridge Abutments",2026-05-12,,True
PRJ-00027,Track Laying & 25kV OHE Electrification,2026-12-28,,False
PRJ-00027,Signalling (Kavach) & CRS Safety Inspection,2027-08-16,,False
PRJ-00028,Statutory Approvals & Land Possession,2025-12-05,2025-12-11,False
PRJ-00028,Engineering Design & EPC Contract Award,2026-07-19,,True
PRJ-00028,Civil Works Foundation & Substructure,2027-03-02,,False
PRJ-00028,Main Equipment Supply & Installation,2027-10-14,,False
PRJ-00028,"Piping, Cabling & Auxiliary Works",2028-05-27,,False
PRJ-00028,"Pre-commissioning, Testing & Final Handover",2029-01-08,,False
PRJ-00029,Land Acquisition & 3D Notification (90% RoW),2025-06-17,2025-06-15,False
PRJ-00029,Forest & Environmental Clearance,2026-04-22,,True
PRJ-00029,EPC / HAM Contract Award & Financial Close,2027-02-25,,False
PRJ-00029,"Earthwork, Embankment & Subgrade Completion",2027-12-31,,False
PRJ-00029,Major Bridges & Flyover Structures Erection,2028-11-05,,False
PRJ-00029,"Bituminous Pavement, Signage & Final COD",2029-09-10,,False
PRJ-00030,Statutory Approvals & Land Possession,2024-10-09,2024-10-08,False
PRJ-00030,Engineering Design & EPC Contract Award,2025-05-05,,True
PRJ-00030,Civil Works Foundation & Substructure,2025-11-29,,True
PRJ-00030,Main Equipment Supply & Installation,2026-06-24,,True
PRJ-00030,"Piping, Cabling & Auxiliary Works",2027-01-18,,False
PRJ-00030,"Pre-commissioning, Testing & Final Handover",2027-08-14,,False
PRJ-00031,Detailed Alignment Survey & RoW Acquisition,2025-10-14,,True
PRJ-00031,Forest & Railway Board Sanction,2026-03-29,,True
PRJ-00031,Tendering & Major Civil Contract Award,2026-09-11,,False
PRJ-00031,"Earthwork, Tunnels & Bridge Abutments",2027-02-24,,False
PRJ-00031,Track Laying & 25kV OHE Electrification,2027-08-09,,False
PRJ-00031,Signalling (Kavach) & CRS Safety Inspection,2028-01-22,,False
PRJ-00032,Statutory Approvals & Land Possession,2020-09-15,2020-09-18,False
PRJ-00032,Engineering Design & EPC Contract Award,2021-02-24,2021-02-15,False
PRJ-00032,Civil Works Foundation & Substructure,2021-08-04,2021-08-11,False
PRJ-00032,Main Equipment Supply & Installation,2022-01-13,2022-01-20,False
PRJ-00032,"Piping, Cabling & Auxiliary Works",2022-06-23,2022-06-20,False
PRJ-00032,"Pre-commissioning, Testing & Final Handover",2022-12-02,2022-12-02,False
PRJ-00033,Detailed Alignment Survey & RoW Acquisition,2024-01-19,2024-01-07,False
PRJ-00033,Forest & Railway Board Sanction,2024-06-24,2024-06-23,False
PRJ-00033,Tendering & Major Civil Contract Award,2024-11-28,2024-11-17,False
PRJ-00033,"Earthwork, Tunnels & Bridge Abutments",2025-05-04,2025-05-14,False
PRJ-00033,Track Laying & 25kV OHE Electrification,2025-10-08,2025-10-07,False
PRJ-00033,Signalling (Kavach) & CRS Safety Inspection,2026-03-14,2026-03-20,False
PRJ-00034,Land Acquisition & 3D Notification (90% RoW),2025-06-02,2025-05-26,False
PRJ-00034,Forest & Environmental Clearance,2025-11-24,2025-12-03,False
PRJ-00034,EPC / HAM Contract Award & Financial Close,2026-05-19,2026-05-28,False
PRJ-00034,"Earthwork, Embankment & Subgrade Completion",2026-11-10,,False
PRJ-00034,Major Bridges & Flyover Structures Erection,2027-05-04,,False
PRJ-00034,"Bituminous Pavement, Signage & Final COD",2027-10-27,,False
PRJ-00035,Statutory Approvals & Land Possession,2022-11-05,2022-10-25,False
PRJ-00035,Engineering Design & EPC Contract Award,2023-03-23,2023-10-19,True
PRJ-00035,Civil Works Foundation & Substructure,2023-08-09,2023-11-01,True
PRJ-00035,Main Equipment Supply & Installation,2023-12-25,2024-02-09,True
PRJ-00035,"Piping, Cabling & Auxiliary Works",2024-05-12,2024-09-25,True
PRJ-00035,"Pre-commissioning, Testing & Final Handover",2024-09-27,2025-02-08,True
PRJ-00036,Statutory Approvals & Land Possession,2024-04-10,2024-04-10,False
PRJ-00036,Engineering Design & EPC Contract Award,2024-09-14,2024-08-30,False
PRJ-00036,Civil Works Foundation & Substructure,2025-02-18,2025-02-14,False
PRJ-00036,Main Equipment Supply & Installation,2025-07-25,2025-07-19,False
PRJ-00036,"Piping, Cabling & Auxiliary Works",2025-12-29,2026-01-07,False
PRJ-00036,"Pre-commissioning, Testing & Final Handover",2026-06-04,2026-06-01,False
PRJ-00037,Land Acquisition & 3D Notification (90% RoW),2021-03-21,2021-03-25,False
PRJ-00037,Forest & Environmental Clearance,2021-08-06,2022-01-19,True
PRJ-00037,EPC / HAM Contract Award & Financial Close,2021-12-23,2022-01-28,True
PRJ-00037,"Earthwork, Embankment & Subgrade Completion",2022-05-10,2022-09-17,True
PRJ-00037,Major Bridges & Flyover Structures Erection,2022-09-26,2023-03-26,True
PRJ-00037,"Bituminous Pavement, Signage & Final COD",2023-02-11,2023-08-04,True
PRJ-00038,Statutory Approvals & Land Possession,2023-09-05,2023-09-02,False
PRJ-00038,Engineering Design & EPC Contract Award,2024-01-08,2024-04-18,True
PRJ-00038,Civil Works Foundation & Substructure,2024-05-11,2024-12-19,True
PRJ-00038,Main Equipment Supply & Installation,2024-09-13,,True
PRJ-00038,"Piping, Cabling & Auxiliary Works",2025-01-16,,True
PRJ-00038,"Pre-commissioning, Testing & Final Handover",2025-05-20,,True
PRJ-00039,Statutory Approvals & Land Possession,2026-06-06,,True
PRJ-00039,Engineering Design & EPC Contract Award,2026-12-26,,False
PRJ-00039,Civil Works Foundation & Substructure,2027-07-17,,False
PRJ-00039,Main Equipment Supply & Installation,2028-02-05,,False
PRJ-00039,"Piping, Cabling & Auxiliary Works",2028-08-26,,False
PRJ-00039,"Pre-commissioning, Testing & Final Handover",2029-03-17,,False
PRJ-00040,Land Acquisition & 3D Notification (90% RoW),2021-12-12,2021-12-08,False
PRJ-00040,Forest & Environmental Clearance,2022-05-18,2022-07-29,True
PRJ-00040,EPC / HAM Contract Award & Financial Close,2022-10-22,2023-04-25,True
PRJ-00040,"Earthwork, Embankment & Subgrade Completion",2023-03-28,,True
PRJ-00040,Major Bridges & Flyover Structures Erection,2023-09-01,,True
PRJ-00040,"Bituminous Pavement, Signage & Final COD",2024-02-05,,True
PRJ-00041,Land Acquisition & 3D Notification (90% RoW),2023-09-13,2023-09-20,False
PRJ-00041,Forest & Environmental Clearance,2024-03-11,2024-03-16,False
PRJ-00041,EPC / HAM Contract Award & Financial Close,2024-09-07,2024-08-30,False
PRJ-00041,"Earthwork, Embankment & Subgrade Completion",2025-03-06,2025-02-22,False
PRJ-00041,Major Bridges & Flyover Structures Erection,2025-09-02,2025-09-09,False
PRJ-00041,"Bituminous Pavement, Signage & Final COD",2026-03-01,2026-03-10,False
PRJ-00042,Land Acquisition & 3D Notification (90% RoW),2024-09-03,2024-09-03,False
PRJ-00042,Forest & Environmental Clearance,2025-05-19,,True
PRJ-00042,EPC / HAM Contract Award & Financial Close,2026-02-02,,True
PRJ-00042,"Earthwork, Embankment & Subgrade Completion",2026-10-18,,False
PRJ-00042,Major Bridges & Flyover Structures Erection,2027-07-04,,False
PRJ-00042,"Bituminous Pavement, Signage & Final COD",2028-03-18,,False
PRJ-00043,Statutory Approvals & Land Possession,2026-01-13,2026-01-15,False
PRJ-00043,Engineering Design & EPC Contract Award,2026-09-24,,False
PRJ-00043,Civil Works Foundation & Substructure,2027-06-05,,False
PRJ-00043,Main Equipment Supply & Installation,2028-02-14,,False
PRJ-00043,"Piping, Cabling & Auxiliary Works",2028-10-25,,False
PRJ-00043,"Pre-commissioning, Testing & Final Handover",2029-07-06,,False
PRJ-00044,Statutory Approvals & Land Possession,2021-12-09,2021-11-24,False
PRJ-00044,Engineering Design & EPC Contract Award,2022-05-20,2022-10-23,True
PRJ-00044,Civil Works Foundation & Substructure,2022-10-28,2023-02-18,True
PRJ-00044,Main Equipment Supply & Installation,2023-04-08,2023-06-23,True
PRJ-00044,"Piping, Cabling & Auxiliary Works",2023-09-16,2024-02-17,True
PRJ-00044,"Pre-commissioning, Testing & Final Handover",2024-02-25,2024-05-19,True
PRJ-00045,Detailed Alignment Survey & RoW Acquisition,2023-06-08,2023-06-17,False
PRJ-00045,Forest & Railway Board Sanction,2023-12-10,2023-12-02,False
PRJ-00045,Tendering & Major Civil Contract Award,2024-06-11,2024-06-18,False
PRJ-00045,"Earthwork, Tunnels & Bridge Abutments",2024-12-13,2024-12-13,False
PRJ-00045,Track Laying & 25kV OHE Electrification,2025-06-16,2025-06-21,False
PRJ-00045,Signalling (Kavach) & CRS Safety Inspection,2025-12-17,2025-12-24,False
PRJ-00046,Detailed Alignment Survey & RoW Acquisition,2024-08-26,2024-08-24,False
PRJ-00046,Forest & Railway Board Sanction,2025-03-08,,True
PRJ-00046,Tendering & Major Civil Contract Award,2025-09-18,,True
PRJ-00046,"Earthwork, Tunnels & Bridge Abutments",2026-03-31,,True
PRJ-00046,Track Laying & 25kV OHE Electrification,2026-10-11,,False
PRJ-00046,Signalling (Kavach) & CRS Safety Inspection,2027-04-23,,False
PRJ-00047,Detailed Alignment Survey & RoW Acquisition,2022-02-08,2022-01-29,False
PRJ-00047,Forest & Railway Board Sanction,2022-11-30,2023-02-17,True
PRJ-00047,Tendering & Major Civil Contract Award,2023-09-22,2023-12-16,True
PRJ-00047,"Earthwork, Tunnels & Bridge Abutments",2024-07-13,2025-02-17,True
PRJ-00047,Track Laying & 25kV OHE Electrification,2025-05-04,,True
PRJ-00047,Signalling (Kavach) & CRS Safety Inspection,2026-02-24,,True
PRJ-00048,Statutory Approvals & Land Possession,2022-05-14,2022-04-30,False
PRJ-00048,Engineering Design & EPC Contract Award,2023-03-05,2023-04-17,True
PRJ-00048,Civil Works Foundation & Substructure,2023-12-26,2024-06-14,True
PRJ-00048,Main Equipment Supply & Installation,2024-10-16,2025-01-28,True
PRJ-00048,"Piping, Cabling & Auxiliary Works",2025-08-07,,True
PRJ-00048,"Pre-commissioning, Testing & Final Handover",2026-05-30,,True
PRJ-00049,Statutory Approvals & Land Possession,2023-07-21,2023-07-09,False
PRJ-00049,Engineering Design & EPC Contract Award,2024-03-31,2024-11-26,True
PRJ-00049,Civil Works Foundation & Substructure,2024-12-10,,True
PRJ-00049,Main Equipment Supply & Installation,2025-08-21,,True
PRJ-00049,"Piping, Cabling & Auxiliary Works",2026-05-02,,True
PRJ-00049,"Pre-commissioning, Testing & Final Handover",2027-01-11,,False
PRJ-00050,Statutory Approvals & Land Possession,2021-01-30,2021-02-08,False
PRJ-00050,Engineering Design & EPC Contract Award,2021-08-16,2021-08-14,False
PRJ-00050,Civil Works Foundation & Substructure,2022-03-03,2022-03-07,False
PRJ-00050,Main Equipment Supply & Installation,2022-09-17,2022-09-21,False
PRJ-00050,"Piping, Cabling & Auxiliary Works",2023-04-04,2023-04-14,False
PRJ-00050,"Pre-commissioning, Testing & Final Handover",2023-10-19,2023-10-23,False
PRJ-00051,Statutory Approvals & Land Possession,2024-02-13,2024-02-18,False
PRJ-00051,Engineering Design & EPC Contract Award,2024-07-24,2024-10-16,True
PRJ-00051,Civil Works Foundation & Substructure,2025-01-01,2025-04-08,True
PRJ-00051,Main Equipment Supply & Installation,2025-06-12,,True
PRJ-00051,"Piping, Cabling & Auxiliary Works",2025-11-20,,True
PRJ-00051,"Pre-commissioning, Testing & Final Handover",2026-05-01,,True
PRJ-00052,Statutory Approvals & Land Possession,2021-08-27,2021-09-03,False
PRJ-00052,Engineering Design & EPC Contract Award,2022-01-12,2022-06-07,True
PRJ-00052,Civil Works Foundation & Substructure,2022-05-31,2022-07-18,True
PRJ-00052,Main Equipment Supply & Installation,2022-10-16,2023-05-09,True
PRJ-00052,"Piping, Cabling & Auxiliary Works",2023-03-04,2023-06-01,True
PRJ-00052,"Pre-commissioning, Testing & Final Handover",2023-07-20,2023-10-25,True
PRJ-00053,Statutory Approvals & Land Possession,2021-12-17,2021-12-16,False
PRJ-00053,Engineering Design & EPC Contract Award,2022-05-23,2022-07-23,True
PRJ-00053,Civil Works Foundation & Substructure,2022-10-27,2023-03-25,True
PRJ-00053,Main Equipment Supply & Installation,2023-04-02,2023-10-25,True
PRJ-00053,"Piping, Cabling & Auxiliary Works",2023-09-06,2023-12-22,True
PRJ-00053,"Pre-commissioning, Testing & Final Handover",2024-02-10,,True
PRJ-00054,Detailed Alignment Survey & RoW Acquisition,2024-12-15,2024-12-21,False
PRJ-00054,Forest & Railway Board Sanction,2025-07-15,,True
PRJ-00054,Tendering & Major Civil Contract Award,2026-02-12,,True
PRJ-00054,"Earthwork, Tunnels & Bridge Abutments",2026-09-13,,False
PRJ-00054,Track Laying & 25kV OHE Electrification,2027-04-13,,False
PRJ-00054,Signalling (Kavach) & CRS Safety Inspection,2027-11-11,,False
PRJ-00055,Statutory Approvals & Land Possession,2022-06-10,2022-06-10,False
PRJ-00055,Engineering Design & EPC Contract Award,2022-12-12,2022-11-29,False
PRJ-00055,Civil Works Foundation & Substructure,2023-06-14,2023-06-14,False
PRJ-00055,Main Equipment Supply & Installation,2023-12-16,2023-12-12,False
PRJ-00055,"Piping, Cabling & Auxiliary Works",2024-06-18,2024-06-16,False
PRJ-00055,"Pre-commissioning, Testing & Final Handover",2024-12-19,2024-12-14,False
PRJ-00056,Detailed Alignment Survey & RoW Acquisition,2024-03-23,2024-03-18,False
PRJ-00056,Forest & Railway Board Sanction,2024-08-27,,True
PRJ-00056,Tendering & Major Civil Contract Award,2025-01-31,,True
PRJ-00056,"Earthwork, Tunnels & Bridge Abutments",2025-07-07,,True
PRJ-00056,Track Laying & 25kV OHE Electrification,2025-12-11,,True
PRJ-00056,Signalling (Kavach) & CRS Safety Inspection,2026-05-17,,True
PRJ-00057,Statutory Approvals & Land Possession,2024-10-04,2024-10-08,False
PRJ-00057,Engineering Design & EPC Contract Award,2025-01-27,2025-09-07,True
PRJ-00057,Civil Works Foundation & Substructure,2025-05-23,,True
PRJ-00057,Main Equipment Supply & Installation,2025-09-15,,True
PRJ-00057,"Piping, Cabling & Auxiliary Works",2026-01-08,,True
PRJ-00057,"Pre-commissioning, Testing & Final Handover",2026-05-04,,True
PRJ-00058,Land Acquisition & 3D Notification (90% RoW),2024-11-26,2024-12-06,False
PRJ-00058,Forest & Environmental Clearance,2025-05-20,2025-05-12,False
PRJ-00058,EPC / HAM Contract Award & Financial Close,2025-11-12,2025-11-19,False
PRJ-00058,"Earthwork, Embankment & Subgrade Completion",2026-05-06,2026-04-26,False
PRJ-00058,Major Bridges & Flyover Structures Erection,2026-10-28,,False
PRJ-00058,"Bituminous Pavement, Signage & Final COD",2027-04-22,,False
PRJ-00059,Statutory Approvals & Land Possession,2021-09-23,2021-09-23,False
PRJ-00059,Engineering Design & EPC Contract Award,2022-03-17,2022-08-14,True
PRJ-00059,Civil Works Foundation & Substructure,2022-09-09,2022-12-10,True
PRJ-00059,Main Equipment Supply & Installation,2023-03-03,,True
PRJ-00059,"Piping, Cabling & Auxiliary Works",2023-08-25,,True
PRJ-00059,"Pre-commissioning, Testing & Final Handover",2024-02-17,,True
PRJ-00060,Statutory Approvals & Land Possession,2025-09-27,,True
