project_id,snapshot_month,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,status
PRJ-00007,2026-06-01,580.19,369.14,51.0,Delayed
PRJ-00007,2026-07-01,580.19,376.9,52.5,Delayed
PRJ-00007,2026-08-01,580.19,384.66,53.9,Delayed
PRJ-00008,2025-09-01,986.94,661.54,70.6,On Track
PRJ-00008,2025-10-01,986.94,692.02,73.3,On Track
PRJ-00008,2025-11-01,986.94,722.5,75.9,On Track
PRJ-00008,2025-12-01,986.94,752.98,78.6,On Track
PRJ-00008,2026-01-01,986.94,783.46,81.3,On Track
PRJ-00008,2026-02-01,986.94,813.94,84.0,On Track
PRJ-00008,2026-03-01,986.94,844.41,86.6,On Track
PRJ-00008,2026-04-01,986.94,874.89,89.3,On Track
PRJ-00008,2026-05-01,986.94,905.37,92.0,On Track
PRJ-00008,2026-06-01,986.94,935.85,94.7,On Track
PRJ-00008,2026-07-01,986.94,966.33,97.3,On Track
PRJ-00008,2026-08-01,986.94,996.81,100.0,Completed
PRJ-00009,2025-09-01,995.99,233.79,0.0,On Track
PRJ-00009,2025-10-01,995.99,244.15,1.6,On Track
PRJ-00009,2025-11-01,995.99,254.52,3.3,On Track
PRJ-00009,2025-12-01,995.99,264.88,4.9,On Track
PRJ-00009,2026-01-01,995.99,275.24,6.5,Stalled
PRJ-00009,2026-02-01,995.99,285.61,8.2,Stalled
PRJ-00009,2026-03-01,995.99,295.97,9.8,Stalled
PRJ-00009,2026-04-01,995.99,306.33,11.5,Delayed
PRJ-00009,2026-05-01,1084.64,316.7,13.1,Delayed
PRJ-00009,2026-06-01,1084.64,327.06,14.7,Delayed
PRJ-00009,2026-07-01,1084.64,337.43,16.4,Delayed
PRJ-00009,2026-08-01,1084.64,347.79,18.0,Delayed
PRJ-00010,2025-09-01,341.79,346.85,68.9,On Track
PRJ-00010,2025-10-01,341.79,357.24,71.7,On Track
PRJ-00010,2025-11-01,341.79,367.64,74.5,On Track
PRJ-00010,2025-12-01,341.79,378.03,77.4,On Track
PRJ-00010,2026-01-01,341.79,388.42,80.2,Delayed
PRJ-00010,2026-02-01,341.79,398.81,83.0,Delayed
PRJ-00010,2026-03-01,341.79,409.21,85.8,Delayed
PRJ-00010,2026-04-01,341.79,419.6,88.7,Delayed
PRJ-00010,2026-05-01,341.79,429.99,91.5,Delayed
PRJ-00010,2026-06-01,461.17,440.38,94.3,Delayed
PRJ-00010,2026-07-01,461.17,450.78,97.2,Delayed
PRJ-00010,2026-08-01,461.17,461.17,100.0,Completed
PRJ-00011,2025-09-01,679.6,547.47,49.7,On Track
PRJ-00011,2025-10-01,679.6,563.39,51.9,On Track
PRJ-00011,2025-11-01,679.6,579.31,54.0,On Track
PRJ-00011,2025-12-01,679.6,595.23,56.1,On Track
PRJ-00011,2026-01-01,679.6,611.15,58.3,Delayed
PRJ-00011,2026-02-01,679.6,627.08,60.4,Delayed
PRJ-00011,2026-03-01,679.6,643.0,62.5,Delayed
PRJ-00011,2026-04-01,833.18,658.92,64.7,Delayed
PRJ-00011,2026-05-01,833.18,674.84,66.8,Delayed
PRJ-00011,2026-06-01,833.18,690.76,68.9,Delayed
PRJ-00011,2026-07-01,833.18,706.68,71.1,Delayed
PRJ-00011,2026-08-01,833.18,722.6,73.2,Delayed
PRJ-00012,2025-09-01,1816.16,470.94,0.0,On Track
PRJ-00012,2025-10-01,1816.16,490.87,1.4,On Track
PRJ-00012,2025-11-01,1816.16,510.81,2.7,On Track
PRJ-00012,2025-12-01,1816.16,530.74,4.1,On Track
PRJ-00012,2026-01-01,1816.16,550.67,5.4,Stalled
PRJ-00012,2026-02-01,1816.16,570.61,6.8,Stalled
PRJ-00012,2026-03-01,1816.16,590.54,8.1,Stalled
PRJ-00012,2026-04-01,2127.54,610.47,9.5,Stalled
PRJ-00012,2026-05-01,2127.54,630.41,10.8,Delayed
PRJ-00012,2026-06-01,2127.54,650.34,12.2,Delayed
PRJ-00012,2026-07-01,2127.54,670.28,13.5,Delayed
PRJ-00012,2026-08-01,2127.54,690.21,14.9,Delayed
PRJ-00013,2025-09-01,27310.69,19194.02,37.4,On Track
PRJ-00013,2025-10-01,27310.69,19970.1,39.6,On Track
PRJ-00013,2025-11-01,27310.69,20746.17,41.9,On Track
PRJ-00013,2025-12-01,27310.69,21522.25,44.1,On Track
PRJ-00013,2026-01-01,27310.69,22298.33,46.4,Delayed
PRJ-00013,2026-02-01,27310.69,23074.41,48.6,Delayed
PRJ-00013,2026-03-01,27310.69,23850.49,50.9,Delayed
PRJ-00013,2026-04-01,27310.69,24626.57,53.1,Delayed
PRJ-00013,2026-05-01,34269.94,25402.64,55.4,Delayed
PRJ-00013,2026-06-01,34269.94,26178.72,57.6,Delayed
PRJ-00013,2026-07-01,34269.94,26954.8,59.9,Delayed
PRJ-00013,2026-08-01,34269.94,27730.88,62.1,Delayed
PRJ-00014,2025-09-01,1947.02,148.52,0.0,On Track
PRJ-00014,2025-10-01,1947.02,157.4,0.2,On Track
PRJ-00014,2025-11-01,1947.02,166.28,0.4,On Track
PRJ-00014,2025-12-01,2177.35,175.17,0.5,On Track
PRJ-00014,2026-01-01,2177.35,184.05,0.7,Stalled
PRJ-00014,2026-02-01,2177.35,192.93,0.9,Stalled
PRJ-00014,2026-03-01,2177.35,201.82,1.1,Stalled
PRJ-00014,2026-04-01,2177.35,210.7,1.3,Stalled
PRJ-00014,2026-05-01,2177.35,219.58,1.5,Stalled
PRJ-00014,2026-06-01,2177.35,228.46,1.6,Stalled
PRJ-00014,2026-07-01,2177.35,237.35,1.8,Stalled
PRJ-00014,2026-08-01,2177.35,246.23,2.0,Stalled
PRJ-00015,2025-09-01,1304.7,978.92,46.8,On Track
PRJ-00015,2025-10-01,1304.7,1015.71,48.5,On Track
PRJ-00015,2025-11-01,1304.7,1052.51,50.2,On Track
PRJ-00015,2025-12-01,1304.7,1089.31,51.9,On Track
PRJ-00015,2026-01-01,1304.7,1126.1,53.6,Delayed
PRJ-00015,2026-02-01,1304.7,1162.9,55.3,Delayed
PRJ-00015,2026-03-01,1673.76,1199.7,57.0,Delayed
PRJ-00015,2026-04-01,1673.76,1236.49,58.7,Delayed
PRJ-00015,2026-05-01,1673.76,1273.29,60.4,Delayed
PRJ-00015,2026-06-01,1673.76,1310.09,62.1,Delayed
PRJ-00015,2026-07-01,1673.76,1346.88,63.8,Delayed
PRJ-00015,2026-08-01,1673.76,1383.68,65.5,Delayed
PRJ-00016,2025-09-01,623.33,599.04,81.7,On Track
PRJ-00016,2025-10-01,623.33,612.69,83.4,On Track
PRJ-00016,2025-11-01,623.33,626.34,85.0,On Track
PRJ-00016,2025-12-01,749.2,639.99,86.7,On Track
PRJ-00016,2026-01-01,749.2,653.64,88.4,Delayed
PRJ-00016,2026-02-01,749.2,667.29,90.0,Delayed
PRJ-00016,2026-03-01,749.2,680.94,91.7,Delayed
PRJ-00016,2026-04-01,749.2,694.6,93.3,Delayed
PRJ-00016,2026-05-01,749.2,708.25,95.0,Delayed
PRJ-00016,2026-06-01,749.2,721.9,96.7,Delayed
PRJ-00016,2026-07-01,749.2,735.55,98.3,Delayed
PRJ-00016,2026-08-01,749.2,749.2,100.0,Completed
PRJ-00017,2025-09-01,185.85,146.56,70.0,On Track
PRJ-00017,2025-10-01,185.85,150.13,72.8,On Track
PRJ-00017,2025-11-01,185.85,153.7,75.5,On Track
PRJ-00017,2025-12-01,185.85,157.27,78.2,On Track
PRJ-00017,2026-01-01,185.85,160.84,80.9,On Track
PRJ-00017,2026-02-01,185.85,164.42,83.7,On Track
PRJ-00017,2026-03-01,185.85,167.99,86.4,On Track
PRJ-00017,2026-04-01,185.85,171.56,89.1,On Track
PRJ-00017,2026-05-01,185.85,175.13,91.8,On Track
PRJ-00017,2026-06-01,185.85,178.71,94.6,On Track
PRJ-00017,2026-07-01,185.85,182.28,97.3,On Track
PRJ-00017,2026-08-01,185.85,185.85,100.0,Completed
PRJ-00018,2025-09-01,606.24,418.77,35.2,On Track
PRJ-00018,2025-10-01,606.24,433.86,37.7,On Track
PRJ-00018,2025-11-01,606.24,448.95,40.2,On Track
PRJ-00018,2025-12-01,761.58,464.04,42.7,On Track
PRJ-00018,2026-01-01,761.58,479.13,45.2,Delayed
PRJ-00018,2026-02-01,761.58,494.22,47.7,Delayed
PRJ-00018,2026-03-01,761.58,509.31,50.2,Delayed
PRJ-00018,2026-04-01,761.58,524.39,52.6,Delayed
PRJ-00018,2026-05-01,761.58,539.48,55.1,Delayed
PRJ-00018,2026-06-01,761.58,554.57,57.6,Delayed
PRJ-00018,2026-07-01,761.58,569.66,60.1,Delayed
PRJ-00018,2026-08-01,761.58,584.75,62.6,Delayed
PRJ-00019,2025-09-01,230.59,141.32,66.4,On Track
PRJ-00019,2025-10-01,230.59,149.43,69.5,On Track
PRJ-00019,2025-11-01,230.59,157.55,72.5,On Track
PRJ-00019,2025-12-01,230.59,165.66,75.6,On Track
PRJ-00019,2026-01-01,230.59,173.78,78.6,On Track
PRJ-00019,2026-02-01,230.59,181.9,81.7,On Track
PRJ-00019,2026-03-01,230.59,190.01,84.7,On Track
PRJ-00019,2026-04-01,230.59,198.13,87.8,On Track
PRJ-00019,2026-05-01,230.59,206.24,90.8,On Track
PRJ-00019,2026-06-01,230.59,214.36,93.9,On Track
PRJ-00019,2026-07-01,230.59,222.47,96.9,On Track
PRJ-00019,2026-08-01,230.59,230.59,100.0,Completed
PRJ-00020,2025-09-01,894.4,685.51,65.3,On Track
PRJ-00020,2025-10-01,894.4,720.78,68.5,On Track
PRJ-00020,2025-11-01,894.4,756.05,71.6,On Track
PRJ-00020,2025-12-01,894.4,791.32,74.8,On Track
PRJ-00020,2026-01-01,894.4,826.59,77.9,Delayed
PRJ-00020,2026-02-01,894.4,861.86,81.1,Delayed
PRJ-00020,2026-03-01,894.4,897.14,84.2,Delayed
PRJ-00020,2026-04-01,1073.49,932.41,87.4,Delayed
PRJ-00020,2026-05-01,1073.49,967.68,90.5,Delayed
PRJ-00020,2026-06-01,1073.49,1002.95,93.7,Delayed
PRJ-00020,2026-07-01,1073.49,1038.22,96.8,Delayed
PRJ-00020,2026-08-01,1073.49,1073.49,100.0,Completed
PRJ-00021,2025-09-01,503.48,201.24,4.6,On Track
PRJ-00021,2025-10-01,503.48,210.56,6.6,On Track
PRJ-00021,2025-11-01,503.48,219.88,8.6,On Track
PRJ-00021,2025-12-01,503.48,229.2,10.6,On Track
PRJ-00021,2026-01-01,503.48,238.52,12.6,Delayed
PRJ-00021,2026-02-01,503.48,247.84,14.6,Delayed
PRJ-00021,2026-03-01,503.48,257.16,16.6,Delayed
PRJ-00021,2026-04-01,503.48,266.48,18.6,Delayed
PRJ-00021,2026-05-01,640.2,275.8,20.5,Delayed
PRJ-00021,2026-06-01,640.2,285.12,22.5,Delayed
PRJ-00021,2026-07-01,640.2,294.44,24.5,Delayed
PRJ-00021,2026-08-01,640.2,303.76,26.5,Delayed
PRJ-00022,2025-09-01,425.34,286.21,11.1,On Track
PRJ-00022,2025-10-01,425.34,295.0,13.6,On Track
PRJ-00022,2025-11-01,425.34,303.78,16.1,On Track
PRJ-00022,2025-12-01,425.34,312.57,18.6,On Track
PRJ-00022,2026-01-01,627.61,321.35,21.1,Delayed
PRJ-00022,2026-02-01,627.61,330.14,23.7,Delayed
PRJ-00022,2026-03-01,627.61,338.92,26.2,Delayed
PRJ-00022,2026-04-01,627.61,347.7,28.7,Delayed
PRJ-00022,2026-05-01,627.61,356.49,31.2,Delayed
PRJ-00022,2026-06-01,627.61,365.27,33.8,Delayed
PRJ-00022,2026-07-01,627.61,374.06,36.3,Delayed
PRJ-00022,2026-08-01,627.61,382.84,38.8,Delayed
PRJ-00023,2025-09-01,4497.11,796.61,0.0,On Track
PRJ-00023,2025-10-01,4497.11,823.79,0.7,On Track
PRJ-00023,2025-11-01,4497.11,850.98,1.5,On Track
PRJ-00023,2025-12-01,4497.11,878.16,2.2,On Track
PRJ-00023,2026-01-01,5717.09,905.35,3.0,Stalled
PRJ-00023,2026-02-01,5717.09,932.53,3.7,Stalled
PRJ-00023,2026-03-01,5717.09,959.72,4.5,Stalled
PRJ-00023,2026-04-01,5717.09,986.9,5.2,Stalled
PRJ-00023,2026-05-01,5717.09,1014.09,6.0,Stalled
PRJ-00023,2026-06-01,5717.09,1041.27,6.7,Stalled
PRJ-00023,2026-07-01,5717.09,1068.46,7.5,Stalled
PRJ-00023,2026-08-01,5717.09,1095.64,8.2,Stalled
PRJ-00024,2025-09-01,1466.33,1127.74,72.6,On Track
PRJ-00024,2025-10-01,1466.33,1158.52,75.1,On Track
PRJ-00024,2025-11-01,1466.33,1189.3,77.6,On Track
PRJ-00024,2025-12-01,1466.33,1220.08,80.1,On Track
PRJ-00024,2026-01-01,1466.33,1250.86,82.6,On Track
PRJ-00024,2026-02-01,1466.33,1281.64,85.0,On Track
PRJ-00024,2026-03-01,1466.33,1312.42,87.5,On Track
PRJ-00024,2026-04-01,1466.33,1343.21,90.0,On Track
PRJ-00024,2026-05-01,1466.33,1373.99,92.5,On Track
PRJ-00024,2026-06-01,1466.33,1404.77,95.0,On Track
PRJ-00024,2026-07-01,1466.33,1435.55,97.5,On Track
PRJ-00024,2026-08-01,1466.33,1466.33,100.0,Completed
PRJ-00025,2025-09-01,431.02,131.84,16.2,On Track
PRJ-00025,2025-10-01,431.02,138.93,19.1,On Track
PRJ-00025,2025-11-01,431.02,146.02,22.1,On Track
PRJ-00025,2025-12-01,431.02,153.11,25.0,On Track
PRJ-00025,2026-01-01,431.02,160.2,28.0,On Track
PRJ-00025,2026-02-01,431.02,167.29,30.9,On Track
PRJ-00025,2026-03-01,431.02,174.38,33.9,On Track
PRJ-00025,2026-04-01,431.02,181.48,36.8,On Track
PRJ-00025,2026-05-01,431.02,188.57,39.8,On Track
PRJ-00025,2026-06-01,431.02,195.66,42.7,On Track
PRJ-00025,2026-07-01,431.02,202.75,45.7,On Track
PRJ-00025,2026-08-01,431.02,209.84,48.6,On Track
PRJ-00026,2025-09-01,321.75,252.78,79.4,On Track
PRJ-00026,2025-10-01,321.75,264.01,81.3,On Track
PRJ-00026,2025-11-01,321.75,275.24,83.2,On Track
PRJ-00026,2025-12-01,321.75,286.47,85.0,On Track
PRJ-00026,2026-01-01,321.75,297.7,86.9,Delayed
PRJ-00026,2026-02-01,321.75,308.93,88.8,Delayed
PRJ-00026,2026-03-01,321.75,320.16,90.6,Delayed
PRJ-00026,2026-04-01,321.75,331.39,92.5,Delayed
PRJ-00026,2026-05-01,321.75,342.63,94.4,Delayed
PRJ-00026,2026-06-01,376.32,353.86,96.3,Delayed
PRJ-00026,2026-07-01,376.32,365.09,98.1,Delayed
PRJ-00026,2026-08-01,376.32,376.32,100.0,Completed
PRJ-00027,2025-09-01,2614.64,1205.8,0.0,On Track
PRJ-00027,2025-10-01,2614.64,1237.28,3.1,On Track
PRJ-00027,2025-11-01,2614.64,1268.76,6.3,On Track
PRJ-00027,2025-12-01,2614.64,1300.25,9.4,On Track
PRJ-00027,2026-01-01,2614.64,1331.73,12.6,Delayed
PRJ-00027,2026-02-01,2614.64,1363.22,15.7,Delayed
PRJ-00027,2026-03-01,2614.64,1394.7,18.9,Delayed
PRJ-00027,2026-04-01,3422.72,1426.18,22.0,Delayed
PRJ-00027,2026-05-01,3422.72,1457.67,25.2,Delayed
PRJ-00027,2026-06-01,3422.72,1489.15,28.3,Delayed
PRJ-00027,2026-07-01,3422.72,1520.64,31.5,Delayed
PRJ-00027,2026-08-01,3422.72,1552.12,34.6,Delayed
PRJ-00028,2025-09-01,2687.1,573.53,7.2,On Track
PRJ-00028,2025-10-01,2687.1,587.73,9.2,On Track
PRJ-00028,2025-11-01,2687.1,601.92,11.3,On Track
PRJ-00028,2025-12-01,2687.1,616.12,13.3,On Track
PRJ-00028,2026-01-01,2687.1,630.31,15.3,On Track
PRJ-00028,2026-02-01,2687.1,644.51,17.3,On Track
PRJ-00028,2026-03-01,2687.1,658.7,19.4,On Track
PRJ-00028,2026-04-01,2687.1,672.9,21.4,On Track
PRJ-00028,2026-05-01,2687.1,687.09,23.4,On Track
PRJ-00028,2026-06-01,2687.1,701.29,25.4,On Track
PRJ-00028,2026-07-01,2687.1,715.48,27.5,On Track
PRJ-00028,2026-08-01,2687.1,729.68,29.5,On Track
PRJ-00029,2025-09-01,5328.92,1491.34,0.0,On Track
PRJ-00029,2025-10-01,5328.92,1530.81,1.4,On Track
PRJ-00029,2025-11-01,5328.92,1570.27,2.8,On Track
PRJ-00029,2025-12-01,5328.92,1609.74,4.2,On Track
PRJ-00029,2026-01-01,5328.92,1649.2,5.6,Stalled
PRJ-00029,2026-02-01,5328.92,1688.66,7.0,Stalled
PRJ-00029,2026-03-01,5328.92,1728.13,8.4,Stalled
PRJ-00029,2026-04-01,5328.92,1767.59,9.8,Stalled
PRJ-00029,2026-05-01,6655.14,1807.06,11.2,Delayed
PRJ-00029,2026-06-01,6655.14,1846.52,12.6,Delayed
PRJ-00029,2026-07-01,6655.14,1885.99,14.0,Delayed
PRJ-00029,2026-08-01,6655.14,1925.45,15.4,Delayed
PRJ-00030,2025-09-01,2069.3,663.18,0.0,On Track
PRJ-00030,2025-10-01,2069.3,693.01,1.9,On Track
PRJ-00030,2025-11-01,2069.3,722.83,3.8,On Track
PRJ-00030,2025-12-01,2069.3,752.65,5.7,On Track
PRJ-00030,2026-01-01,2069.3,782.47,7.6,Stalled
PRJ-00030,2026-02-01,2069.3,812.29,9.5,Stalled
PRJ-00030,2026-03-01,2069.3,842.11,11.4,Delayed
PRJ-00030,2026-04-01,2069.3,871.93,13.3,Delayed
PRJ-00030,2026-05-01,2069.3,901.76,15.2,Delayed
PRJ-00030,2026-06-01,2966.98,931.58,17.1,Delayed
PRJ-00030,2026-07-01,2966.98,961.4,19.0,Delayed
PRJ-00030,2026-08-01,2966.98,991.22,20.9,Delayed
PRJ-00031,2025-09-01,761.06,142.55,0.0,On Track
PRJ-00031,2025-10-01,761.06,149.95,0.4,On Track
PRJ-00031,2025-11-01,761.06,157.36,0.8,On Track
PRJ-00031,2025-12-01,761.06,164.77,1.3,On Track
PRJ-00031,2026-01-01,761.06,172.17,1.7,Stalled
PRJ-00031,2026-02-01,761.06,179.58,2.1,Stalled
PRJ-00031,2026-03-01,761.06,186.99,2.5,Stalled
PRJ-00031,2026-04-01,999.75,194.39,2.9,Stalled
PRJ-00031,2026-05-01,999.75,201.8,3.3,Stalled
PRJ-00031,2026-06-01,999.75,209.21,3.8,Stalled
PRJ-00031,2026-07-01,999.75,216.61,4.2,Stalled
PRJ-00031,2026-08-01,999.75,224.02,4.6,Stalled
PRJ-00032,2025-09-01,1473.76,917.82,75.9,On Track
PRJ-00032,2025-10-01,1473.76,968.36,78.1,On Track
PRJ-00032,2025-11-01,1473.76,1018.9,80.3,On Track
PRJ-00032,2025-12-01,1473.76,1069.44,82.5,On Track
PRJ-00032,2026-01-01,1473.76,1119.98,84.7,On Track
PRJ-00032,2026-02-01,1473.76,1170.52,86.9,On Track
PRJ-00032,2026-03-01,1473.76,1221.06,89.0,On Track
PRJ-00032,2026-04-01,1473.76,1271.6,91.2,On Track
PRJ-00032,2026-05-01,1473.76,1322.14,93.4,On Track
PRJ-00032,2026-06-01,1473.76,1372.68,95.6,On Track
PRJ-00032,2026-07-01,1473.76,1423.22,97.8,On Track
PRJ-00032,2026-08-01,1473.76,1473.76,100.0,Completed
PRJ-00033,2025-09-01,846.58,635.07,84.0,On Track
PRJ-00033,2025-10-01,846.58,654.3,85.5,On Track
PRJ-00033,2025-11-01,846.58,673.53,86.9,On Track
PRJ-00033,2025-12-01,846.58,692.76,88.4,On Track
PRJ-00033,2026-01-01,846.58,711.98,89.8,On Track
PRJ-00033,2026-02-01,846.58,731.21,91.3,On Track
PRJ-00033,2026-03-01,846.58,750.44,92.7,On Track
PRJ-00033,2026-04-01,846.58,769.67,94.2,On Track
PRJ-00033,2026-05-01,846.58,788.9,95.6,On Track
PRJ-00033,2026-06-01,846.58,808.12,97.1,On Track
PRJ-00033,2026-07-01,846.58,827.35,98.5,On Track
PRJ-00033,2026-08-01,846.58,846.58,100.0,Completed
PRJ-00034,2025-09-01,670.19,232.91,24.1,On Track
PRJ-00034,2025-10-01,670.19,245.24,26.8,On Track
PRJ-00034,2025-11-01,670.19,257.56,29.5,On Track
PRJ-00034,2025-12-01,670.19,269.89,32.3,On Track
PRJ-00034,2026-01-01,670.19,282.22,35.0,On Track
PRJ-00034,2026-02-01,670.19,294.55,37.7,On Track
PRJ-00034,2026-03-01,670.19,306.87,40.4,On Track
PRJ-00034,2026-04-01,670.19,319.2,43.2,On Track
PRJ-00034,2026-05-01,670.19,331.53,45.9,On Track
PRJ-00034,2026-06-01,670.19,343.86,48.6,On Track
PRJ-00034,2026-07-01,670.19,356.18,51.4,On Track
PRJ-00034,2026-08-01,670.19,368.51,54.1,On Track
PRJ-00035,2025-09-01,763.93,610.33,82.0,On Track
PRJ-00035,2025-10-01,763.93,631.55,83.6,On Track
PRJ-00035,2025-11-01,763.93,652.77,85.3,On Track
PRJ-00035,2025-12-01,763.93,673.98,86.9,On Track
PRJ-00035,2026-01-01,843.71,695.2,88.5,Delayed
PRJ-00035,2026-02-01,843.71,716.41,90.2,Delayed
PRJ-00035,2026-03-01,843.71,737.63,91.8,Delayed
PRJ-00035,2026-04-01,843.71,758.85,93.4,Delayed
PRJ-00035,2026-05-01,843.71,780.06,95.1,Delayed
PRJ-00035,2026-06-01,843.71,801.28,96.7,Delayed
PRJ-00035,2026-07-01,843.71,822.49,98.4,Delayed
PRJ-00035,2026-08-01,843.71,843.71,100.0,Completed
PRJ-00036,2025-09-01,528.32,335.83,62.4,On Track
PRJ-00036,2025-10-01,528.32,349.88,65.4,On Track
PRJ-00036,2025-11-01,528.32,363.93,68.3,On Track
PRJ-00036,2025-12-01,528.32,377.97,71.3,On Track
PRJ-00036,2026-01-01,528.32,392.02,74.2,On Track
PRJ-00036,2026-02-01,528.32,406.07,77.2,On Track
PRJ-00036,2026-03-01,528.32,420.12,80.2,On Track
PRJ-00036,2026-04-01,528.32,434.17,83.1,On Track
PRJ-00036,2026-05-01,528.32,448.22,86.1,On Track
PRJ-00036,2026-06-01,528.32,462.26,89.1,On Track
PRJ-00036,2026-07-01,528.32,476.31,92.0,On Track
PRJ-00036,2026-08-01,528.32,490.36,95.0,On Track
PRJ-00037,2025-09-01,859.12,691.08,68.2,On Track
PRJ-00037,2025-10-01,859.12,730.22,71.1,On Track
